"","Fecha","Periodo","Transecto","Hora","Sitio","Planta","Polinizador","capturado.","Codigo.captura","Código.confirmado.","Flor.marcada.","Observaciones","X"
"1","04/04/2023","1","1","11:25","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","si","5 Helleborus marcados para nectar microbioma en zona cuadrados",""
"2","04/04/2023","1","1","11:25","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"3","04/04/2023","1","1","11:25","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"4","04/04/2023","1","1","11:25","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","si","5 flores Helleborus marcadas exito reproductivo en transecto",""
"5","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"6","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"7","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"8","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"9","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"10","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"11","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"12","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"13","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"14","04/04/2023","1","2","13:15","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"15","04/04/2023","1","3","16:05","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"16","04/04/2023","1","3","16:05","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"17","04/04/2023","1","3","16:05","1","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","",""
"18","04/04/2023","1","2","14:10","2","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","x3 visitas, mismo indi",""
"19","04/04/2023","1","2","14:10","2","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","x3 visitas, mismo indi",""
"20","04/04/2023","1","2","14:10","2","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","x3 visitas, mismo indi",""
"21","04/04/2023","1","2","14:10","2","Taraxacum officinale","Diptera sp.","SI","C1","si","no","como era el primer insecto capturado, codigo era 1, luego se modificó la nomeclatura del código de captura)",""
"22","04/04/2023","1","2","14:10","2","Bellis perennis","Diptera sp.","No","","","no","",""
"23","04/04/2023","1","3","16:05","2","Helleborus viridis","Bombus (Bombus) sp.","no","","","no","x4 visitas, mismo indi, (16:44)",""
"24","04/04/2023","1","3","16:05","2","Helleborus viridis","Bombus (Bombus) sp.","no","","","no","x4 visitas, mismo indi, (16:44)",""
"25","04/04/2023","1","3","16:05","2","Helleborus viridis","Bombus (Bombus) sp.","no","","","no","x4 visitas, mismo indi, (16:44)",""
"26","04/04/2023","1","3","16:05","2","Helleborus viridis","Bombus (Bombus) sp.","No","","","no","x4 visitas, mismo indi, (16:44)",""
"27","05/04/2023","1","1","11:40","3","Lathyrus linifolius","Bombus pascuorum","Si","1301","","no","R1T3001",""
"28","05/04/2023","1","2","13:50","3","Lathyrus linifolius","Bombus pascuorum","No","","","no","",""
"29","05/04/2023","1","2","13:50","3","Lathyrus linifolius","Bombus sp.","Si","1302","si","no","R1T3_002",""
"30","05/04/2023","1","2","13:50","3","Taraxacum officinale","Lasioglossum sp. cf.","No","","","no","",""
"31","05/04/2023","1","2","13:50","3","Taraxacum officinale","Andrena sp.","No","","","no","",""
"32","05/04/2023","1","2","13:50","3","Lathyrus linifolius","Bombus pascuorum","No","","","no","",""
"33","05/04/2023","1","2","13:50","3","Taraxacum officinale","Anthophila sp.","Si","R1T3_003","si","no","R1T3_003",""
"34","05/04/2023","1","3","15:45","3","Lathyrus linifolius","Bombus pascuorum","No","","","no","",""
"35","05/04/2023","1","3","15:45","3","Lathyrus linifolius","Bombus pascuorum","No","","","no","",""
"36","05/04/2023","1","3","15:45","3","Viola riviniana","Bombylius sp.","No","","","no","",""
"37","05/04/2023","1","1","12:00","4","Crataegus monogyna","Apis mellifera","No","","","no","x3 visitas, mismo indi",""
"38","05/04/2023","1","1","12:00","4","Crataegus monogyna","Apis mellifera","No","","","no","x3 visitas, mismo indi",""
"39","05/04/2023","1","1","12:00","4","Crataegus monogyna","Apis mellifera","No","","","no","x3 visitas, mismo indi",""
