ASV_ID	GBP23010301M_16S_B48	GBP23010302M_16S_B96	GBP23010303M_16S_B96	GBP23010304M_16S_B96	GBP23010305M_16S_B96	GBP23010501M_16S_B96	GBP23010901M_16S_B96	GBP23011001M_16S_B96	GBP23011101M_16S_B96	GBP23011102M_16S_B96	GBP23020201M_16S_B96	GBP23020202M_16S_B96	GBP23020301M_16S_B96	GBP23020302M_16S_B96	GBP23020303M_16S_B96	GBP23020304M_16S_B96	GBP23020305M_16S_B96	GBP23020401M_16S_B96	GBP23020402M_16S_B96	GBP23020403M_16S_B96	GBP23020404M_16S_B48	GBP23020501M_16S_B96	GBP23020601M_16S_B96	GBP23020602M_16S_B96	GBP23020701M_16S_B96	GBP23020801M_16S_B96	GBP23020802M_16S_B96	GBP23020901M_16S_B48	GBP23020902M_16S_B96	GBP23020903M_16S_B96	GBP23021101M_16S_B96	GBP23021102M_16S_B48	GBP23021103M_16S_B96	GBP23021104M_16S_B96	GBP23021105M_16S_B96	GBP23021401M_16S_B96	GBP23021402M_16S_B96	GBP23021501M_16S_B96	GBP23021601M_16S_B48	GBP23021602M_16S_B96	GBP23021603M_16S_B96	GBP23021604M_16S_B96	GBP23021605M_16S_B96	GBP23030101M_16S_B96	GBP23030102M_16S_B96	GBP23030201M_16S_B96	GBP23030501M_16S_B96	GBP23031301M_16S_B96	GBP23031401M_16S_B96	GBP23031402M_16S_B96	GBP23031403M_16S_B48	GBP23031404M_16S_B96	GBP23031405M_16S_B48	GBP23031601M_16S_B96	GBP23040101M_16S_B96	GBP23040201M_16S_B96	GBP23040202M_16S_B96	GBP23040203M_16S_B96	GBP23040301M_16S_B96	GBP23040401M_16S_B96	GBP23040402M_16S_B48	GBP23040403M_16S_B48	GBP23040701M_16S_B96	GBP23040702M_16S_B48	GBP23041101M_16S_B48	GBP23041102M_16S_B48	GBP23041103M_16S_B96	GBP23041104M_16S_B48	GBP23041105M_16S_B96	GBP23041301M_16S_B96	GBP23041302M_16S_B48	GBP23041401M_16S_B96	GBP23041402M_16S_B96	GBP23041403M_16S_B96	GBP23041404M_16S_B96	GBP23041405M_16S_B96	GBP23041406M_16S_B96	GBP23050301M_16S_B96	GBP23050401M_16S_B48	GBP23050402M_16S_B48	GBP23050403M_16S_B48	GBP23050501M_16S_B96	GBP23050502M_16S_B48	GBP23050701M_16S_B48	GBP23050702M_16S_B96	GBP23051501M_16S_B96	GBP23051601M_16S_B96	GBP23051602M_16S_B96	GBP23051603M_16S_B96	GBP23060101M_16S_B96	GBP23060102M_16S_B96	GBP23060103M_16S_B48	GBP23060104M_16S_B48	GBP23060105M_16S_B48	GBP23060201M_16S_B48	GBP23060202M_16S_B48	GBP23060203M_16S_B96	GBP23060204M_16S_B48	GBP23060205M_16S_B48	GBP23060301M_16S_B48	GBP23060302M_16S_B48	GBP23060303M_16S_B96	GBP23060304M_16S_B96	GBP23060305M_16S_B48	GBP23060401M_16S_B96	GBP23060402M_16S_B96	GBP23060403M_16S_B48	GBP23060404M_16S_B96	GBP23060501M_16S_B48	GBP23060701M_16S_B96	GBP23060801M_16S_B96	GBP23060901M_16S_B48	GBP23061001M_16S_B48	GBP23061002M_16S_B96	GBP23061003M_16S_B96	GBP23061004M_16S_B96	GBP23061005M_16S_B96	GBP23061201M_16S_B48	GBP23061202M_16S_B96	GBP23061301M_16S_B96	GBP23061303M_16S_B48	GBP23061304M_16S_B96	GBP23061305M_16S_B96	GBP23061401M_16S_B96	GBP23061402M_16S_B96	GBP23061404M_16S_B96	GBP23061405M_16S_B48
ASV_1	13007	11013	17459	11086	6649	15505	4404	6	10323	2290	18265	15616	9036	8	3217	14783	3295	8928	8077	10490	14412	5096	8370	1131	9884	12452	9488	3297	12626	10684	7181	17589	16042	13739	14591	8039	6325	10156	5264	165	5679	8602	16159	8205	6177	11539	10229	5089	8195	8348	3719	13740	6541	8095	11114	12100	14380	4540	14378	8	79	12783	5476	14579	7602	23874	10165	1415	9672	8582	13301	7939	13052	18690	10297	20281	8778	12164	15595	12270	13772	15534	14826	20649	10946	4796	13002	8724	6903	8939	16938	11532	16672	20116	19403	17480	12525	23063	10767	8357	2426	8070	1756	13923	967	10040	3491	12380	4	12240	11611	17498	21925	13273	7846	11671	4901	8396	6674	8790	12279	15052	8776	4490	7556	7386	5865
ASV_2	5852	6495	15932	6546	3679	5370	5225	7453	8159	13148	12279	5699	8221	6312	4254	3340	6435	8011	6006	6592	9175	9932	6174	16952	12998	10418	14999	22617	9046	5699	9585	13942	12734	10694	10076	5539	4662	8378	7442	8051	12070	11014	10456	6670	4074	6794	4946	4991	4961	9974	2130	20085	2360	7933	15949	9018	11000	4225	8575	1	6	21873	4754	12126	3852	17620	12483	540	7727	7438	10434	3556	7362	10164	6211	13964	5243	10724	6612	10965	8015	6310	9011	18254	7032	3699	7782	7593	5161	4613	12244	11475	8993	14466	8859	14597	7360	12383	6027	3836	2169	6103	3123	7396	543	8696	4199	7821	3	17304	8768	8324	25643	10770	6478	15028	3795	6115	17868	11853	18683	12283	17184	3480	8269	14677	6551
ASV_8	0	20	5	8	0	0	0	2	0	1	0	0	1705	208	5	541	112	1330	127	1	109	0	0	20	1	1	1	0	1	6	0	0	0	9	1	0	10	0	0	0	21	0	0	17	154	4	0	655	4	896	1	589	0	2292	4910	2649	337	1295	23	1285	524	712	1	0	8	1	0	0	0	2020	449	180	1	526	3	5805	515	16	129	3	10	0	1	5	0	0	1	1	1	1	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	11	0	0	0	131	0	38	0	79	1	25	0
ASV_10	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	4	0	4	0	0	0	0	10	123	3	0	0	2371	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	5	1	9	2	0	1	0	0	0	1	0	29	4577	1	1	0	0	0	0	2	0	0	1	4	13	0	3	2	6	227	0	0	0	5	7	0	0	0	2241	15	0	1	1	0	102	0	0	1363	726	122	1418	10710	0	2	0	6	50	0	21	0	0	0	0	2	0	0	0	1	146	64	0	0	0	0	1	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	8	0	0	0	0	2	0
ASV_19	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7222
ASV_20	7	13	11	9	4	15	3	0	7	1	7	9	10	3	3	10	5	12	9	8	5	5	4	1	9	7	6	4	9	4	3	20	9	11	7	4	2	8	0	0	10	8	12	3	4	11	12	5	3	10	1	12	3	5	17	12	14	4	15	10	5717	6	8	10	7	10	7	1	5	3	7	7	9	16	11	18	4	9	11	9	9	9	12	16	17	1	11	6	9	9	17	9	10	8	16	11	8	10	11	5	1	5	8	10	5	12	2	14	2	11	12	9	16	7	6	11	9	3	4	11	10	14	2	4	3	5	3
ASV_21	4	5	12	10	1	5	2	8	6	10	10	8	3	2	16	1	3	7	3	5	4	5	6	22	6	9	10	22	4	7	7	8	16	14	4	3	718	5	3	8	5	3382	6	4	1	3	2	0	6	9	1	12	3	8	11	4	3	3	6	0	0	13	4	6	4	15	6	0	5	5	2	0	5	10	1	5	6	13	3	10	4	9	7	10	5	1	6	4	2	2	6	3	10	1392	5	8	6	8	7	2	1	4	5	4	0	10	2	7	0	15	8	8	23	12	8	15	0	5	16	8	11	9	11	2	6	13	3
ASV_23	4	3	0	3	1	4	0	1	4	1	1	0	7	1	0	3	3	0	4	2	0	6	2	0	2	1	0	2	6	3	0	2	5	5	2	1	2	0	1	2	0	0	4	3	1	1	0	2	2	0	0	4	1	1	4	0	4	1	0	2795	1567	3	0	1	0	9	5	0	0	2	5	2	6	7	2	5	0	4	0	0	0	0	0	4	1	0	2	2	0	1	1	1	1	884	1	3	2	1	1	0	1	0	0	0	0	0	16	0	0	5	0	1	4	5	5	3	1	1	0	1	4	2	5	0	0	0	3
ASV_27	10	11	122	326	47	5	0	0	0	0	0	0	634	92	13	61	1079	4	13	35	8	0	28	30	5	0	26	0	90	40	39	0	0	27	0	0	0	2	0	0	13	2	1	28	3	1	1	3	0	9	0	36	0	1	16	6	58	0	0	0	0	1	0	0	5	0	0	0	52	0	1	130	78	416	0	6	73	51	3	1	3	0	0	1	2	1	1	2	15	1	8	0	0	0	0	5	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	3	0	0	0	4	0	0	1	0	6	1	1	0
