sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading	flower_abundance	category	Fecha	Time
GBP23010301M_16S_B48	23	p01	s03	01M	#440154FF	#240C4FFF	sample	B48	29966	32	Medium	05/04/2023	early
GBP23010302M_16S_B96	23	p01	s03	02M	#440154FF	#240C4FFF	sample	B96	23909	32	Medium	05/04/2023	early
GBP23010303M_16S_B96	23	p01	s03	03M	#440154FF	#240C4FFF	sample	B96	45979	32	Medium	05/04/2023	early
GBP23010304M_16S_B96	23	p01	s03	04M	#440154FF	#240C4FFF	sample	B96	36112	32	Medium	05/04/2023	early
GBP23010305M_16S_B96	23	p01	s03	05M	#440154FF	#240C4FFF	sample	B96	19687	32	Medium	05/04/2023	early
GBP23010501M_16S_B96	23	p01	s05	01M	#440154FF	#5D126EFF	sample	B96	36248	24	Low	06/04/2023	early
GBP23010901M_16S_B96	23	p01	s09	01M	#440154FF	#C73E4CFF	sample	B96	11955	24	Low	08/04/2023	early
GBP23011001M_16S_B96	23	p01	s10	01M	#440154FF	#DD513AFF	sample	B96	12974	32	Medium	08/04/2023	early
GBP23011101M_16S_B96	23	p01	s11	01M	#440154FF	#ED6925FF	sample	B96	26774	27	Medium	10/04/2023	early
GBP23011102M_16S_B96	23	p01	s11	02M	#440154FF	#ED6925FF	sample	B96	18591	27	Medium	10/04/2023	early
GBP23020201M_16S_B96	23	p02	s02	01M	#414487FF	#0C0826FF	sample	B96	37186	26	Low	17/04/2023	early
GBP23020202M_16S_B96	23	p02	s02	02M	#414487FF	#0C0826FF	sample	B96	31623	26	Low	17/04/2023	early
GBP23020301M_16S_B96	23	p02	s03	01M	#414487FF	#240C4FFF	sample	B96	35006	32	Medium	18/04/2023	early
GBP23020302M_16S_B96	23	p02	s03	02M	#414487FF	#240C4FFF	sample	B96	22827	32	Medium	18/04/2023	early
GBP23020303M_16S_B96	23	p02	s03	03M	#414487FF	#240C4FFF	sample	B96	12943	32	Medium	18/04/2023	early
GBP23020304M_16S_B96	23	p02	s03	04M	#414487FF	#240C4FFF	sample	B96	47446	32	Medium	18/04/2023	early
GBP23020305M_16S_B96	23	p02	s03	05M	#414487FF	#240C4FFF	sample	B96	23216	32	Medium	18/04/2023	early
GBP23020401M_16S_B96	23	p02	s04	01M	#414487FF	#420A68FF	sample	B96	26726	27	Medium	18/04/2023	early
GBP23020402M_16S_B96	23	p02	s04	02M	#414487FF	#420A68FF	sample	B96	26220	27	Medium	18/04/2023	early
GBP23020403M_16S_B96	23	p02	s04	03M	#414487FF	#420A68FF	sample	B96	27143	27	Medium	18/04/2023	early
GBP23020404M_16S_B48	23	p02	s04	04M	#414487FF	#420A68FF	sample	B48	31147	27	Medium	18/04/2023	early
GBP23020501M_16S_B96	23	p02	s05	01M	#414487FF	#5D126EFF	sample	B96	28241	24	Low	21/04/2023	early
GBP23020601M_16S_B96	23	p02	s06	01M	#414487FF	#781C6DFF	sample	B96	24137	11	Low	21/04/2023	early
