Fecha,Periodo,Sitio,Planta,Numero de flores,
04/04/2023,1,1,Bellis perennis,11,
04/04/2023,1,1,Euphorbia sp.,4,
04/04/2023,1,1,Helleborus viridis,574,
04/04/2023,1,1,Hepatica nobilis,13,
04/04/2023,1,1,Hutchinsia alpina,17,
04/04/2023,1,1,Primula veris,9,
04/04/2023,1,1,Ranunculus ficaria,10,
04/04/2023,1,1,Taraxacum sp.,19,
04/04/2023,1,1,Viola riviniana,9,
04/04/2023,1,2,Helleborus viridis,79,
04/04/2023,1,2,Bellis perennis,83,
04/04/2023,1,2,Hepatica nobilis,149,
04/04/2023,1,2,Potentilla sterillis,33,
04/04/2023,1,2,Anemone nemorosa,1,
04/04/2023,1,2,Taraxacum,11,
04/04/2023,1,2,Ranunculus ficaria,5,
05/04/2023,1,3,Bellis perennis,5,
05/04/2023,1,3,Helleborus viridis,9,
05/04/2023,1,3,Hepatica nobilis,14,
05/04/2023,1,3,Lathyrus linifolius,82,
05/04/2023,1,3,Polygala vulgaris,8,
05/04/2023,1,3,Potentilla erecta,6,
05/04/2023,1,3,Potentilla montana,7,
05/04/2023,1,3,Primula veris,2,
05/04/2023,1,3,Scilla verna,13,
05/04/2023,1,3,Taraxacum,4,
05/04/2023,1,3,Viola riviniana,47,
05/04/2023,1,4,Cerastium sp.,8,
05/04/2023,1,4,Crataegus monogyna,821,
05/04/2023,1,4,Helleborus viridis,4,
05/04/2023,1,4,Hepatica nobilis,35,
05/04/2023,1,4,Lathyrus linifolius,47,
05/04/2023,1,4,Oxalis acetosella,2,
05/04/2023,1,4,Potentilla montana,10,
05/04/2023,1,4,Viola riviniana,37,
06/04/2023,1,5,Bellis perennis,9,
06/04/2023,1,5,Erica sp.,1,
06/04/2023,1,5,Taraxacum sp.,25,
06/04/2023,1,5,Viola riviniana,3,
06/04/2023,1,6,Scilla verna,1,
06/04/2023,1,6,Anemone nemorosa,1,
07/04/2023,1,7,Anemone nemorosa,53,
07/04/2023,1,7,Bellis perennis,461,
07/04/2023,1,7,Helleborus viridis,1,
07/04/2023,1,7,Oxalis acetosella,3,
07/04/2023,1,7,Potentilla erecta,1,
07/04/2023,1,7,Potentilla sterillis,41,
07/04/2023,1,7,Taraxacum sp.,36,
07/04/2023,1,7,Viola riviniana,17,
07/04/2023,1,7,Hutchinsia alpina,23,cf.
07/04/2023,1,8,Anemone nemorosa,26,
07/04/2023,1,8,Euphorbia sp.,29,
07/04/2023,1,8,Pedicularis sylvatica,4,
07/04/2023,1,8,Polygala vulgaris,26,
07/04/2023,1,8,Potentilla erecta,9,
07/04/2023,1,8,Scilla verna,12,
08/04/2023,1,9,Anemone nemorosa,485,
08/04/2023,1,9,Bellis perennis,70,
08/04/2023,1,9,Erythronium dens-canis,3,
08/04/2023,1,9,Euphorbia sp.,12,
08/04/2023,1,9,Narcissus pseudonarcissus subs. palidiflorus,14,
08/04/2023,1,9,Oxalis acetosella,19,
08/04/2023,1,9,Polygala vulgaris,6,
08/04/2023,1,9,Potentilla erecta,2,
08/04/2023,1,9,Potentilla sterillis,26,
08/04/2023,1,9,Ranunculus ficaria,1,
08/04/2023,1,9,Saxifraga sp.,2,
08/04/2023,1,9,Taraxacum sp.,3,
08/04/2023,1,9,Viola riviniana,30,
08/04/2023,1,10,Bellis perennis,645,
08/04/2023,1,10,Erinus alpinus,248,
08/04/2023,1,10,Helleborus viridis,5,
08/04/2023,1,10,Hepatica nobilis,7,
08/04/2023,1,10,Potentilla erecta,5,
08/04/2023,1,10,Potentilla montana,3,
08/04/2023,1,10,Potentilla sterillis,19,
08/04/2023,1,10,Scilla verna,4,
08/04/2023,1,10,Taraxacum sp.,118,
08/04/2023,1,10,Unknown White Sp 1,66,
08/04/2023,1,10,Viola riviniana,60,
09/04/2023,1,15,Bellis perennis,710,
09/04/2023,1,15,Erinus alpinus,21,
09/04/2023,1,15,Helleborus viridis,33,
09/04/2023,1,15,Hepatica nobilis,5,
09/04/2023,1,15,Potentilla erecta,1,
09/04/2023,1,15,Potentilla montana,56,
09/04/2023,1,15,Potentilla sterillis,32,
09/04/2023,1,15,Taraxacum sp.,565,
09/04/2023,1,15,Viola riviniana,133,
09/04/2023,1,15,White S1,5,(Hutchinsia sp.?)
09/04/2023,1,15,White S2,10,
09/04/2023,1,16,Hepatica nobilis,21,
09/04/2023,1,16,Cerastium sp.,67,
09/04/2023,1,16,Taraxacum,337,
09/04/2023,1,16,Potentilla sterillis,90,
09/04/2023,1,16,Helleborus viridis,388,
09/04/2023,1,16,Ranunculus ficaria,54,
09/04/2023,1,16,Bellis perennis,900,
09/04/2023,1,16,Viola riviniana,5,
09/04/2023,1,16,Hutchinsia alpina,6,
10/04/2023,1,11,Erica cinerea,1,
10/04/2023,1,11,Euphorbia sp.,17,
