site,Latitude,Longitude,Elevation
site_01,43.0813037,-2.8185333,"822"
site_02,43.0781401,-2.8096343,"963"
site_03,43.0754569,-2.8256028,"719"
site_04,43.0690728,-2.8250719,"716"
site_05,43.0643991,-2.8576114,"958"
site_06,43.0585033,-2.8564407,"1045"
site_07,43.0611204,-2.8477023,"809"
site_08,43.0565315,-2.8398259,"885"
site_09,43.0537767,-2.8254759,"980"
site_10,43.0509013,-2.8217427,"1048"
site_11,43.0500029,-2.8306013,"997"
site_12,43.044379,-2.8207177,"1175"
site_13,43.0540875,-2.8076532,"1229"
site_14,43.0470127,-2.7958848,"1004"
site_15,43.0531348,-2.7985245,"1129"
site_16,43.0638949,-2.7961599,"1129"
