	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Cephalothecales	f__Cephalothecaceae	g__Phialemonium	s__inflatum
ASV_2	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	NA
ASV_3	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_4	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_5	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__viridicatenatus
ASV_6	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Urocystidales	f__Urocystidaceae	g__Urocystis	s__magica
ASV_7	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Urocystidales	f__Floromycetaceae	g__Antherospora	s__vindobonensis
ASV_8	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_9	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_10	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_11	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_12	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	s__appendiculatus
ASV_13	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_14	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_15	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_17	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_18	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_19	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_20	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_21	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Microbotryaceae	g__Microbotryum	s__alpinum
ASV_22	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_23	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_24	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_25	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_26	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_27	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	NA
ASV_28	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_29	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Monilinia	s__gaylussaciae
ASV_30	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_31	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_32	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces	s__prosopidis
ASV_33	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_34	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__spinulosum
ASV_35	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__echinulatum
ASV_36	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	s__caroliniana
ASV_37	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_38	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_39	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_40	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_41	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_42	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_43	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_44	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_45	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_46	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_47	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_48	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_49	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_50	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_51	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_52	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_53	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_54	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_55	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_56	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__wieringae
ASV_57	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__gamsii
ASV_58	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_59	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_60	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_61	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	NA
ASV_62	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Podila	s__humilis
ASV_63	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_64	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_65	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Grandibotrys	s__pseudotheobromae
ASV_66	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_67	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Urocystidales	f__Glomosporiaceae	g__Thecaphora	NA
ASV_68	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_69	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_70	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_71	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Preussia	NA
ASV_72	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_73	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_74	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_75	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_76	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	NA
ASV_77	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_78	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_79	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_80	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_81	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_82	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_83	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_84	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_85	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_86	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_87	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_88	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_89	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_90	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_91	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_92	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__graminis
ASV_93	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_94	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_95	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_96	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__verrucosa
ASV_97	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_98	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_99	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__setiferum
ASV_100	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__coprobium
ASV_101	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__flavus
ASV_102	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_103	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__myxotrichoides
ASV_104	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_105	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_106	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_107	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	s__caroliniana
ASV_108	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_109	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_110	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_111	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_112	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_113	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_114	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_115	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_116	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_117	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Apiospora	NA
ASV_118	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_119	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_120	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_121	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_122	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_123	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_124	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_125	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_126	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_127	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_128	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	NA
ASV_129	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_130	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Gamsia	s__simplex
ASV_131	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_132	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_133	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_134	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_135	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_136	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora	NA
ASV_137	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_138	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_139	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Cephalotrichum	s__stemonitis
ASV_140	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_141	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_142	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_143	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_144	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_145	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	NA	NA	NA
ASV_146	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_147	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_148	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_149	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_150	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_151	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_152	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_153	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_154	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_155	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_156	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_157	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_158	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_159	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_160	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_161	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	NA
ASV_162	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_163	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_164	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__hypsicladia
ASV_165	k__Fungi	NA	NA	NA	NA	NA	NA
