sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23010301M_ITS_F48	23	p01	s03	01M	#440154FF	#240C4FFF	sample	F48	6
GBP23010302M_ITS_F96	23	p01	s03	02M	#440154FF	#240C4FFF	sample	F96	3003
GBP23010303M_ITS_F96	23	p01	s03	03M	#440154FF	#240C4FFF	sample	F96	685
GBP23010304M_ITS_F96	23	p01	s03	04M	#440154FF	#240C4FFF	sample	F96	30828
GBP23010305M_ITS_F96	23	p01	s03	05M	#440154FF	#240C4FFF	sample	F96	0
GBP23010501M_ITS_F96	23	p01	s05	01M	#440154FF	#5D126EFF	sample	F96	63437
GBP23010901M_ITS_F96	23	p01	s09	01M	#440154FF	#C73E4CFF	sample	F96	46
GBP23011001M_ITS_F96	23	p01	s10	01M	#440154FF	#DD513AFF	sample	F96	31803
GBP23011101M_ITS_F96	23	p01	s11	01M	#440154FF	#ED6925FF	sample	F96	6878
GBP23011102M_ITS_F96	23	p01	s11	02M	#440154FF	#ED6925FF	sample	F96	62
GBP23020201M_ITS_F96	23	p02	s02	01M	#414487FF	#0C0826FF	sample	F96	10737
GBP23020202M_ITS_F96	23	p02	s02	02M	#414487FF	#0C0826FF	sample	F96	7315
GBP23020301M_ITS_F96	23	p02	s03	01M	#414487FF	#240C4FFF	sample	F96	30826
GBP23020302M_ITS_F96	23	p02	s03	02M	#414487FF	#240C4FFF	sample	F96	43000
GBP23020303M_ITS_F96	23	p02	s03	03M	#414487FF	#240C4FFF	sample	F96	118450
GBP23020304M_ITS_F96	23	p02	s03	04M	#414487FF	#240C4FFF	sample	F96	2869
GBP23020305M_ITS_F96	23	p02	s03	05M	#414487FF	#240C4FFF	sample	F96	26
GBP23020401M_ITS_F96	23	p02	s04	01M	#414487FF	#420A68FF	sample	F96	4505
GBP23020402M_ITS_F96	23	p02	s04	02M	#414487FF	#420A68FF	sample	F96	1488
GBP23020403M_ITS_F96	23	p02	s04	03M	#414487FF	#420A68FF	sample	F96	2510
GBP23020404M_ITS_F48	23	p02	s04	04M	#414487FF	#420A68FF	sample	F48	16374
GBP23020501M_ITS_F96	23	p02	s05	01M	#414487FF	#5D126EFF	sample	F96	393
GBP23020601M_ITS_F96	23	p02	s06	01M	#414487FF	#781C6DFF	sample	F96	107011
GBP23020602M_ITS_F96	23	p02	s06	02M	#414487FF	#781C6DFF	sample	F96	2
GBP23020701M_ITS_F96	23	p02	s07	01M	#414487FF	#932667FF	sample	F96	62705
GBP23020801M_ITS_F96	23	p02	s08	01M	#414487FF	#AE305CFF	sample	F96	38162
GBP23020802M_ITS_F96	23	p02	s08	02M	#414487FF	#AE305CFF	sample	F96	35
GBP23020901M_ITS_F48	23	p02	s09	01M	#414487FF	#C73E4CFF	sample	F48	57
GBP23020902M_ITS_F96	23	p02	s09	02M	#414487FF	#C73E4CFF	sample	F96	41
GBP23020903M_ITS_F96	23	p02	s09	03M	#414487FF	#C73E4CFF	sample	F96	125397
GBP23021102M_ITS_F48	23	p02	s11	02M	#414487FF	#ED6925FF	sample	F48	980
GBP23021103M_ITS_F96	23	p02	s11	03M	#414487FF	#ED6925FF	sample	F96	2489
GBP23021104M_ITS_F96	23	p02	s11	04M	#414487FF	#ED6925FF	sample	F96	55
GBP23021105M_ITS_F96	23	p02	s11	05M	#414487FF	#ED6925FF	sample	F96	62314
GBP23021401M_ITS_F96	23	p02	s14	01M	#414487FF	#FAC62DFF	sample	F96	3526
GBP23021402M_ITS_F96	23	p02	s14	02M	#414487FF	#FAC62DFF	sample	F96	4132
GBP23021501M_ITS_F96	23	p02	s15	01M	#414487FF	#F2E661FF	sample	F96	1662
