sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23010301M_16S_B48	23	p01	s03	01M	#440154FF	#240C4FFF	sample	B48	29966
GBP23010302M_16S_B96	23	p01	s03	02M	#440154FF	#240C4FFF	sample	B96	23909
GBP23010303M_16S_B96	23	p01	s03	03M	#440154FF	#240C4FFF	sample	B96	45979
GBP23010304M_16S_B96	23	p01	s03	04M	#440154FF	#240C4FFF	sample	B96	36112
GBP23010305M_16S_B96	23	p01	s03	05M	#440154FF	#240C4FFF	sample	B96	19687
GBP23010501M_16S_B96	23	p01	s05	01M	#440154FF	#5D126EFF	sample	B96	36248
GBP23010901M_16S_B96	23	p01	s09	01M	#440154FF	#C73E4CFF	sample	B96	11955
GBP23011001M_16S_B96	23	p01	s10	01M	#440154FF	#DD513AFF	sample	B96	12974
GBP23011101M_16S_B96	23	p01	s11	01M	#440154FF	#ED6925FF	sample	B96	26774
GBP23011102M_16S_B96	23	p01	s11	02M	#440154FF	#ED6925FF	sample	B96	18591
GBP23020201M_16S_B96	23	p02	s02	01M	#414487FF	#0C0826FF	sample	B96	37186
GBP23020202M_16S_B96	23	p02	s02	02M	#414487FF	#0C0826FF	sample	B96	31623
GBP23020301M_16S_B96	23	p02	s03	01M	#414487FF	#240C4FFF	sample	B96	35006
GBP23020302M_16S_B96	23	p02	s03	02M	#414487FF	#240C4FFF	sample	B96	22827
GBP23020303M_16S_B96	23	p02	s03	03M	#414487FF	#240C4FFF	sample	B96	12943
GBP23020304M_16S_B96	23	p02	s03	04M	#414487FF	#240C4FFF	sample	B96	47446
GBP23020305M_16S_B96	23	p02	s03	05M	#414487FF	#240C4FFF	sample	B96	23216
GBP23020401M_16S_B96	23	p02	s04	01M	#414487FF	#420A68FF	sample	B96	26726
GBP23020402M_16S_B96	23	p02	s04	02M	#414487FF	#420A68FF	sample	B96	26220
GBP23020403M_16S_B96	23	p02	s04	03M	#414487FF	#420A68FF	sample	B96	27143
GBP23020404M_16S_B48	23	p02	s04	04M	#414487FF	#420A68FF	sample	B48	31147
GBP23020501M_16S_B96	23	p02	s05	01M	#414487FF	#5D126EFF	sample	B96	28241
GBP23020601M_16S_B96	23	p02	s06	01M	#414487FF	#781C6DFF	sample	B96	24137
GBP23020602M_16S_B96	23	p02	s06	02M	#414487FF	#781C6DFF	sample	B96	31903
GBP23020701M_16S_B96	23	p02	s07	01M	#414487FF	#932667FF	sample	B96	38431
GBP23020801M_16S_B96	23	p02	s08	01M	#414487FF	#AE305CFF	sample	B96	32341
GBP23020802M_16S_B96	23	p02	s08	02M	#414487FF	#AE305CFF	sample	B96	28174
GBP23020901M_16S_B48	23	p02	s09	01M	#414487FF	#C73E4CFF	sample	B48	30703
GBP23020902M_16S_B96	23	p02	s09	02M	#414487FF	#C73E4CFF	sample	B96	30108
GBP23020903M_16S_B96	23	p02	s09	03M	#414487FF	#C73E4CFF	sample	B96	26972
GBP23021101M_16S_B96	23	p02	s11	01M	#414487FF	#ED6925FF	sample	B96	23311
GBP23021102M_16S_B48	23	p02	s11	02M	#414487FF	#ED6925FF	sample	B48	47916
GBP23021103M_16S_B96	23	p02	s11	03M	#414487FF	#ED6925FF	sample	B96	38523
GBP23021104M_16S_B96	23	p02	s11	04M	#414487FF	#ED6925FF	sample	B96	40563
GBP23021105M_16S_B96	23	p02	s11	05M	#414487FF	#ED6925FF	sample	B96	35554
GBP23021401M_16S_B96	23	p02	s14	01M	#414487FF	#FAC62DFF	sample	B96	18834
GBP23021402M_16S_B96	23	p02	s14	02M	#414487FF	#FAC62DFF	sample	B96	17643
GBP23021501M_16S_B96	23	p02	s15	01M	#414487FF	#F2E661FF	sample	B96	25816
GBP23021601M_16S_B48	23	p02	s16	01M	#414487FF	#FCFFA4FF	sample	B48	16076
GBP23021602M_16S_B96	23	p02	s16	02M	#414487FF	#FCFFA4FF	sample	B96	18294
GBP23021603M_16S_B96	23	p02	s16	03M	#414487FF	#FCFFA4FF	sample	B96	24723
