"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23010301M_16S_B48","Species richness",32,38.749731844907,9.93532487381817,32,58.2226107722956,0.825812166341632,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","B48",29966,1,3,"1 3",1,3,11
"GBP23010301M_16S_B48","Shannon diversity",3.26525431145004,3.26797930276863,0.0185381687935097,3.23164515959402,3.30431344594323,0.999166154046239,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","B48",29966,1,3,"1 3",1,3,11
"GBP23010301M_16S_B48","Simpson diversity",2.73705024450532,2.73723914132785,0.0161465905860277,2.70559240530612,2.76888587734958,0.99993099001849,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","B48",29966,1,3,"1 3",1,3,11
"GBP23010302M_16S_B96","Species richness",36,48.4993868040226,9.33105425626924,36,66.7879170840994,0.742277426010964,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","B96",23909,1,3,"1 3",1,3,11
"GBP23010302M_16S_B96","Shannon diversity",2.88504471306975,2.88867551211571,0.0162054332851246,2.856913446523,2.92043757770842,0.998743092108918,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","B96",23909,1,3,"1 3",1,3,11
"GBP23010302M_16S_B96","Simpson diversity",2.44504139221811,2.44521473584575,0.0109348460302928,2.42378283144988,2.46664664024161,0.999929109036886,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","B96",23909,1,3,"1 3",1,3,11
"GBP23010303M_16S_B96","Species richness",40,72.6658260422028,29.6483646518712,40,130.775552960381,0.550465083501134,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","B96",45979,1,3,"1 3",1,3,11
"GBP23010303M_16S_B96","Shannon diversity",3.13493279214676,3.1377580866712,0.0131786221816844,3.11192846182924,3.16358771151316,0.999099581788526,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","B96",45979,1,3,"1 3",1,3,11
"GBP23010303M_16S_B96","Simpson diversity",2.63328971102901,2.63340039596099,0.00859210118141235,2.6165601870939,2.65024060482808,0.999957968817752,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","B96",45979,1,3,"1 3",1,3,11
"GBP23010304M_16S_B96","Species richness",63,119.331494538016,52.374803525504,63,221.984223145365,0.52794109588504,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","B96",36112,1,3,"1 3",1,3,11
