"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","j","site_num","Periodo","Sitio","n_plants"
"GBP23010302M_ITS_P96","Species richness",12,12,0,12,12,1,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","P96",6470,FALSE,1,"1 3",3,1,3,11
"GBP23010302M_ITS_P96","Shannon diversity",3.4410335938324,3.44401279007517,0.0567305860056529,3.33282288468224,3.5552026954681,0.999134963653052,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","P96",6470,FALSE,1,"1 3",3,1,3,11
"GBP23010302M_ITS_P96","Simpson diversity",2.09913307612461,2.09949448941145,0.0312045096575447,2.03833477432743,2.16065420449547,0.999827856996689,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","P96",6470,FALSE,1,"1 3",3,1,3,11
"GBP23010303M_ITS_P96","Species richness",14,14,0.187749379018473,14,14.367982020996,1,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","P96",11068,FALSE,1,"1 3",3,1,3,11
"GBP23010303M_ITS_P96","Shannon diversity",2.80020708249944,2.80188118728566,0.0253262744813518,2.75224260143964,2.85151977313169,0.999402506860811,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","P96",11068,FALSE,1,"1 3",3,1,3,11
"GBP23010303M_ITS_P96","Simpson diversity",2.25256129742983,2.25281749790269,0.017417199581394,2.21868041401161,2.28695458179376,0.999886275531376,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","P96",11068,FALSE,1,"1 3",3,1,3,11
"GBP23010304M_ITS_P96","Simpson diversity",1.94135368364812,1.94145540325605,0.016842927865303,1.90844387124585,1.97446693526625,0.999947606518411,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","P96",18320,FALSE,1,"1 3",3,1,3,11
"GBP23010304M_ITS_P96","Species richness",26,26,0.88045507816983,26,27.7256602432183,1,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","P96",18320,FALSE,1,"1 3",3,1,3,11
"GBP23010304M_ITS_P96","Shannon diversity",3.37413664799486,3.37652735667403,0.0377765258612499,3.30248672652493,3.45056798682313,0.999291962295391,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","P96",18320,FALSE,1,"1 3",3,1,3,11
"GBP23010305M_ITS_P96","Shannon diversity",3.75676639234912,3.77040243945757,0.111907611162894,3.55106755198238,3.98973732693275,0.996383397441678,23,"p01","s03","05M","#440154FF","#240C4FFF","sample","P96",700,FALSE,1,"1 3",3,1,3,11
"GBP23010305M_ITS_P96","Species richness",6,6,0.238683256575942,6,6.46781058660158,1,23,"p01","s03","05M","#440154FF","#240C4FFF","sample","P96",700,FALSE,1,"1 3",3,1,3,11
"GBP23010305M_ITS_P96","Simpson diversity",3.27610183996577,3.28680441733615,0.104727983121782,3.08154134224394,3.49206749242836,0.996743774191755,23,"p01","s03","05M","#440154FF","#240C4FFF","sample","P96",700,FALSE,1,"1 3",3,1,3,11
"GBP23010501M_ITS_P96","Simpson diversity",2.0380333959248,2.03804760347782,0.00541531572609419,2.02743377968976,2.04866142726588,0.999993028841428,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","P96",161394,FALSE,1,"1 5",5,1,5,3
"GBP23010501M_ITS_P96","Species richness",153,153,1.22183526788454,153,155.394753120095,1,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","P96",161394,FALSE,1,"1 5",5,1,5,3
"GBP23010501M_ITS_P96","Shannon diversity",4.09263069897119,4.09473762530333,0.0188960174180725,4.05770211171267,4.131773138894,0.999485455107277,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","P96",161394,FALSE,1,"1 5",5,1,5,3
"GBP23010901M_ITS_P96","Species richness",2,2,0,2,2,1,23,"p01","s09","01M","#440154FF","#C73E4CFF","sample","P96",100,FALSE,1,"1 9",9,1,9,11
