"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23010301M_ITS_F48","Species richness",2,2,0.337997668989631,2,2.66246325807817,1,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","F48",6,FALSE,1,3,"1 3",1,3,11
"GBP23010301M_ITS_F48","Shannon diversity",1.88988157484231,2.07047443729748,0.374040162329494,1.33736919036015,2.8035796842348,0.912777062492552,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","F48",6,FALSE,1,3,"1 3",1,3,11
"GBP23010301M_ITS_F48","Simpson diversity",1.8,2.14285714285714,0.486072251590474,1.19017303585552,3.09554124985876,0.84,23,"p01","s03","01M","#440154FF","#240C4FFF","sample","F48",6,FALSE,1,3,"1 3",1,3,11
"GBP23010302M_ITS_F96","Species richness",26,26,0.60793543613583,26,27.1915315597519,1,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","F96",3003,FALSE,1,3,"1 3",1,3,11
"GBP23010302M_ITS_F96","Shannon diversity",4.83375313995418,4.85425410186106,0.125889109609604,4.60751598098043,5.1009922227417,0.995776701944995,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","F96",3003,FALSE,1,3,"1 3",1,3,11
"GBP23010302M_ITS_F96","Simpson diversity",3.06840933179312,3.07052495553445,0.0524742384104742,2.96767733813376,3.17337257293515,0.999310989563031,23,"p01","s03","02M","#440154FF","#240C4FFF","sample","F96",3003,FALSE,1,3,"1 3",1,3,11
"GBP23010303M_ITS_F96","Species richness",24,24,1.09354875775943,24,26.143316180547,1,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","F96",685,FALSE,1,3,"1 3",1,3,11
"GBP23010303M_ITS_F96","Shannon diversity",10.1184385457684,10.2942218079949,0.465386836421124,9.38208036973045,11.2063632462593,0.982924084451925,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","F96",685,FALSE,1,3,"1 3",1,3,11
"GBP23010303M_ITS_F96","Simpson diversity",5.78304097192091,5.82388537420922,0.370535364252022,5.09764940527682,6.55012134314161,0.992986743442928,23,"p01","s03","03M","#440154FF","#240C4FFF","sample","F96",685,FALSE,1,3,"1 3",1,3,11
"GBP23010304M_ITS_F96","Species richness",142,142,0.439021058260194,142,142.860465462645,1,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","F96",30828,FALSE,1,3,"1 3",1,3,11
"GBP23010304M_ITS_F96","Shannon diversity",43.8854711252147,43.9867781072292,0.364588915790527,43.2721969631172,44.7013592513411,0.997696876507584,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","F96",30828,FALSE,1,3,"1 3",1,3,11
"GBP23010304M_ITS_F96","Simpson diversity",21.4500196322516,21.4642970618739,0.221269601588109,21.0306166118877,21.8979775118601,0.999334828921669,23,"p01","s03","04M","#440154FF","#240C4FFF","sample","F96",30828,FALSE,1,3,"1 3",1,3,11
"GBP23010501M_ITS_F96","Species richness",161,161,3.6273006004643,161,168.109378538011,1,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","F96",63437,FALSE,1,5,"1 5",1,5,3
"GBP23010501M_ITS_F96","Shannon diversity",54.7404061412928,54.8304709836478,0.255119123330451,54.3304466901527,55.3304952771429,0.998357394333128,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","F96",63437,FALSE,1,5,"1 5",1,5,3
"GBP23010501M_ITS_F96","Simpson diversity",39.5926021571197,39.6235979562878,0.206001385033314,39.2198426608571,40.0273532517184,0.999217743951413,23,"p01","s05","01M","#440154FF","#5D126EFF","sample","F96",63437,FALSE,1,5,"1 5",1,5,3
"GBP23010901M_ITS_F96","Species richness",9,9,1.37665577961672,9,11.6981957471577,1,23,"p01","s09","01M","#440154FF","#C73E4CFF","sample","F96",46,FALSE,1,9,"1 9",1,9,11
"GBP23010901M_ITS_F96","Shannon diversity",7.67665116151225,8.41027919823456,0.729821619742833,6.97985510839992,9.8407032880692,0.912770073450557,23,"p01","s09","01M","#440154FF","#C73E4CFF","sample","F96",46,FALSE,1,9,"1 9",1,9,11
"GBP23010901M_ITS_F96","Simpson diversity",6.73885350318471,7.72388059701494,0.976534884164155,5.80990739440621,9.63785379962368,0.872469922151449,23,"p01","s09","01M","#440154FF","#C73E4CFF","sample","F96",46,FALSE,1,9,"1 9",1,9,11
"GBP23011001M_ITS_F96","Species richness",83,83,2.61526160868622,83,88.1258185631753,1,23,"p01","s10","01M","#440154FF","#DD513AFF","sample","F96",31803,FALSE,1,10,"1 10",1,10,10
"GBP23011001M_ITS_F96","Shannon diversity",2.85110376956274,2.85483747603359,0.0318783620406612,2.79235703454776,2.91731791751941,0.998692147450705,23,"p01","s10","01M","#440154FF","#DD513AFF","sample","F96",31803,FALSE,1,10,"1 10",1,10,10
"GBP23011001M_ITS_F96","Simpson diversity",1.49667838280183,1.49670176392441,0.00768332927833282,1.48164271525751,1.5117608125913,0.999984378235435,23,"p01","s10","01M","#440154FF","#DD513AFF","sample","F96",31803,FALSE,1,10,"1 10",1,10,10
"GBP23011101M_ITS_F96","Species richness",106,106,1.70677511651573,106,109.34521775808,1,23,"p01","s11","01M","#440154FF","#ED6925FF","sample","F96",6878,FALSE,1,11,"1 11",1,11,5
"GBP23011101M_ITS_F96","Shannon diversity",31.2157211242734,31.4582655680942,0.69819212875537,30.0898341414443,32.8266969947441,0.992289961336367,23,"p01","s11","01M","#440154FF","#ED6925FF","sample","F96",6878,FALSE,1,11,"1 11",1,11,5
"GBP23011101M_ITS_F96","Simpson diversity",11.8802772900234,11.8991031649598,0.369850356710056,11.1742097861388,12.6239965437808,0.99841787446706,23,"p01","s11","01M","#440154FF","#ED6925FF","sample","F96",6878,FALSE,1,11,"1 11",1,11,5
"GBP23011102M_ITS_F96","Species richness",12,12,1.3271401569195,12,14.6011469099991,1,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","F96",62,FALSE,1,11,"1 11",1,11,5
"GBP23011102M_ITS_F96","Shannon diversity",10.2015098152528,11.1946109860961,0.824678658159569,9.57827051728454,12.8109514549077,0.911287567555781,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","F96",62,FALSE,1,11,"1 11",1,11,5
"GBP23011102M_ITS_F96","Simpson diversity",8.85714285714286,10.1666666666666,1.10257805798822,8.00565338286562,12.3276799504677,0.871194379391103,23,"p01","s11","02M","#440154FF","#ED6925FF","sample","F96",62,FALSE,1,11,"1 11",1,11,5
"GBP23020201M_ITS_F96","Species richness",39,39,3.80448460993228,39,46.4566528152042,1,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","F96",10737,FALSE,2,2,"2 2",2,2,10
"GBP23020201M_ITS_F96","Shannon diversity",4.49320527244325,4.50140127879529,0.0492470698255052,4.40487879559317,4.59792376199741,0.998179232233604,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","F96",10737,FALSE,2,2,"2 2",2,2,10
"GBP23020201M_ITS_F96","Simpson diversity",3.43299584112086,3.43377400411186,0.0316416846600952,3.3717574417679,3.49579056645582,0.999773379672027,23,"p02","s02","01M","#414487FF","#0C0826FF","sample","F96",10737,FALSE,2,2,"2 2",2,2,10
"GBP23020202M_ITS_F96","Species richness",69,69.24996582365,3.01980770803202,69,75.1686801716292,0.996390383436627,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","F96",7315,FALSE,2,2,"2 2",2,2,10
"GBP23020202M_ITS_F96","Shannon diversity",13.7883050424431,13.8544417255959,0.255759042143204,13.3531632142747,14.355720236917,0.995226319150012,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","F96",7315,FALSE,2,2,"2 2",2,2,10
"GBP23020202M_ITS_F96","Simpson diversity",7.26651451714731,7.27274568564858,0.149765763791008,6.97921018250107,7.56628118879609,0.99914321650026,23,"p02","s02","02M","#414487FF","#0C0826FF","sample","F96",7315,FALSE,2,2,"2 2",2,2,10
"GBP23020301M_ITS_F96","Species richness",131,131,2.55552550755137,131,136.008737956374,1,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","F96",30826,FALSE,2,3,"2 3",2,3,9
"GBP23020301M_ITS_F96","Shannon diversity",56.4782866960064,56.7163222309205,0.516928420342045,55.7031611444649,57.7294833173761,0.995803050593707,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","F96",30826,FALSE,2,3,"2 3",2,3,9
"GBP23020301M_ITS_F96","Simpson diversity",33.1246141652271,33.1928141234475,0.511805297917294,32.1896941724328,34.1959340744622,0.997945339676029,23,"p02","s03","01M","#414487FF","#240C4FFF","sample","F96",30826,FALSE,2,3,"2 3",2,3,9
"GBP23020302M_ITS_F96","Species richness",104,104,0.440239097144158,104,104.862852774989,1,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020302M_ITS_F96","Shannon diversity",46.5835178376123,46.6420972795007,0.238173491320128,46.1752858144411,47.1089087445603,0.998744065011971,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020302M_ITS_F96","Simpson diversity",27.4233735397947,27.4409893292883,0.268726436230835,26.9142951925821,27.9676834659946,0.999358048309328,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Species richness",152,152,0.633367004831737,152,153.241376518466,1,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Shannon diversity",5.86578870663884,5.87040923433209,0.0428516629852088,5.78642151820344,5.95439695046075,0.999212912165266,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Simpson diversity",1.99342634359132,1.99344686761617,0.00766443963399063,1.97842484197187,2.00846889326048,0.999989704252878,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Species richness",29,29,2.17403642602643,29,33.26103309609,1,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Shannon diversity",1.60629803048193,1.61444558046277,0.0366372724523153,1.54263784596445,1.68625331496109,0.994953344925686,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Simpson diversity",1.15938556443197,1.15944999943636,0.0100898507025265,1.13967425545002,1.1792257434227,0.999944426232762,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020305M_ITS_F96","Species richness",4,4,0.384065798094744,4,4.75275513195933,1,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","F96",26,FALSE,2,3,"2 3",2,3,9
