function	GBP23010301M_16S_B48	GBP23010302M_16S_B96	GBP23010303M_16S_B96	GBP23010304M_16S_B96	GBP23010305M_16S_B96	GBP23010501M_16S_B96	GBP23010901M_16S_B96	GBP23011001M_16S_B96	GBP23011101M_16S_B96	GBP23011102M_16S_B96	GBP23020201M_16S_B96	GBP23020202M_16S_B96	GBP23020301M_16S_B96	GBP23020302M_16S_B96	GBP23020303M_16S_B96	GBP23020304M_16S_B96	GBP23020305M_16S_B96	GBP23020401M_16S_B96	GBP23020402M_16S_B96	GBP23020403M_16S_B96	GBP23020404M_16S_B48	GBP23020501M_16S_B96	GBP23020601M_16S_B96	GBP23020602M_16S_B96	GBP23020701M_16S_B96	GBP23020801M_16S_B96	GBP23020802M_16S_B96	GBP23020901M_16S_B48	GBP23020902M_16S_B96	GBP23020903M_16S_B96	GBP23021101M_16S_B96	GBP23021102M_16S_B48	GBP23021103M_16S_B96	GBP23021104M_16S_B96	GBP23021105M_16S_B96	GBP23021401M_16S_B96	GBP23021402M_16S_B96	GBP23021501M_16S_B96	GBP23021601M_16S_B48	GBP23021602M_16S_B96	GBP23021603M_16S_B96	GBP23021604M_16S_B96	GBP23021605M_16S_B96	GBP23030101M_16S_B96	GBP23030102M_16S_B96	GBP23030201M_16S_B96	GBP23030501M_16S_B96	GBP23031301M_16S_B96	GBP23031401M_16S_B96	GBP23031402M_16S_B96	GBP23031403M_16S_B48	GBP23031404M_16S_B96	GBP23031405M_16S_B48	GBP23031601M_16S_B96	GBP23040101M_16S_B96	GBP23040201M_16S_B96	GBP23040202M_16S_B96	GBP23040203M_16S_B96	GBP23040301M_16S_B96	GBP23040401M_16S_B96	GBP23040402M_16S_B48	GBP23040403M_16S_B48	GBP23040701M_16S_B96	GBP23040702M_16S_B48	GBP23041101M_16S_B48	GBP23041102M_16S_B48	GBP23041103M_16S_B96	GBP23041104M_16S_B48	GBP23041105M_16S_B96	GBP23041301M_16S_B96	GBP23041302M_16S_B48	GBP23041401M_16S_B96	GBP23041402M_16S_B96	GBP23041403M_16S_B96	GBP23041404M_16S_B96	GBP23041405M_16S_B96	GBP23041406M_16S_B96	GBP23050301M_16S_B96	GBP23050401M_16S_B48	GBP23050402M_16S_B48	GBP23050403M_16S_B48	GBP23050501M_16S_B96	GBP23050502M_16S_B48	GBP23050701M_16S_B48	GBP23050702M_16S_B96	GBP23051501M_16S_B96	GBP23051601M_16S_B96	GBP23051602M_16S_B96	GBP23051603M_16S_B96	GBP23060101M_16S_B96	GBP23060102M_16S_B96	GBP23060103M_16S_B48	GBP23060104M_16S_B48	GBP23060105M_16S_B48	GBP23060201M_16S_B48	GBP23060202M_16S_B48	GBP23060203M_16S_B96	GBP23060204M_16S_B48	GBP23060205M_16S_B48	GBP23060301M_16S_B48	GBP23060302M_16S_B48	GBP23060303M_16S_B96	GBP23060304M_16S_B96	GBP23060305M_16S_B48	GBP23060401M_16S_B96	GBP23060402M_16S_B96	GBP23060403M_16S_B48	GBP23060404M_16S_B96	GBP23060501M_16S_B48	GBP23060701M_16S_B96	GBP23060801M_16S_B96	GBP23060901M_16S_B48	GBP23061001M_16S_B48	GBP23061002M_16S_B96	GBP23061003M_16S_B96	GBP23061004M_16S_B96	GBP23061005M_16S_B96	GBP23061201M_16S_B48	GBP23061202M_16S_B96	GBP23061301M_16S_B96	GBP23061303M_16S_B48	GBP23061304M_16S_B96	GBP23061305M_16S_B96	GBP23061401M_16S_B96	GBP23061402M_16S_B96	GBP23061404M_16S_B96	GBP23061405M_16S_B48
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	26050.48	20389.0	39001.0	31040.14	16114.84	28521.8	10449.0	12658.0	23024.34	16667.34	33303.18	26403.0	28310.84	14267.84	12655.0	33015.34	21364.16	24748.0	23620.16	23419.66	28446.66	20719.8	18586.18	31205.47	31848.5	26190.34	25022.56	28737.34	25785.0	22193.22	19051.78	48035.19	32421.17	33380.61	29458.84	16099.27	17550.66	21088.44	14169.0	21922.15	24320.34	25424.32	29881.2	19870.7	11608.34	24346.66	18347.5	12369.3	17342.329999999998	19600.82	6580.68	40603.5	10779.98	24077.59	43096.9	30825.86	40568.41	16443.94	32621.0	10259.5	13513.0	52495.0	16873.41	47102.88	14085.52	51299.98	22820.18	2470.59	18369.16	30575.5	28564.26	18137.34	36905.5	38618.48	26170.34	57051.81	23842.68	27822.0	29186.82	29708.43	30942.800000000003	28610.1	29879.81	45927.98	24860.16	15937.76	27906.21	24755.34	16443.120000000003	42067.52	40979.82	25790.77	28627.12	43598.990000000005	33587.34	43042.32000000001	31302.3	37479.51	26930.97	29292.71	6654.63	22081.39	64261.01	22575.34	3528.1800000000003	23326.64	10489.66	31918.8	858.9399999999999	38956.91	23406.0	29439.5	64131.34	29370.84	22950.2	31137.66	9027.0	20161.84	34079.98	34900.83	47744.23999999999	33922.59	32140.66	12332.84	19808.5	45192.16	35649.5
1.1.1.127-RXN	52.0	107.5	808.5	1701.57	372.0	550.9	79.0	34.0	58.5	34.5	699.69	1788.0	2683.5	908.5	78.5	760.0	2765.0	682.5	195.5	631.0	101.0	579.28	228.0	2542.05	2866.0	106.0	124.78	298.0	691.5	1216.38	707.0	4767.06	166.5	704.9	437.5	12.36	12.0	100.14	45.0	464.83	146.0	22.0	26.05	150.22	137.0	5.0	8.5	332.78	30.98	469.78	0.5	383.0	13.78	1175.36	2633.98	1361.15	333.34	662.7	16.0	655.0	273.0	364.5	1294.0	6198.08	1527.86	104.57	5.5	2.5	295.5	1017.5	235.34	177.0	113.0	515.0	2224.36	3074.28	326.0	699.0	71.5	374.36	968.94	540.36	371.74	26.78	213.0	727.49	14.920000000000002	1000.5	2403.08	4872.86	335.0	1390.34	168.06	9.5	3.5	1099.5800000000002	7.78	69.0	3432.16	3219.42	1214.58	1879.62	13502.7	759.0	36.72	6.28	1393.0	2143.28	6.0600000000000005	320.5	19.0	5.5	48.0	53.0	27.58	378.0	4.5	14.0	169.39	280.0	2090.26	37.36	20.0	65.5	1.0	29.0	31.5
1.1.1.136-RXN	1.0	3.0	4.0	2.0700000000000003	3.0	3.0	3.0	1.0	2.0	1.0	21.21	7.0	5.0	1.0	0.0	1.0	4.0	0.0	2.0	11.0	0.0	3.0	2.0	30.57	1.0	0.0	7.0	4.0	2.0	5.44	24.0	35.0	0.5	23.0	1.0	0.0	1.0	3.14	0.0	154.0	3.0	0.0	46.43	7.0	156.0	0.5	0.0	0.0	0.0	1.0	0.0	6.0	1.0	4.5	2.0	4.57	1.0	2.0	2.0	54.0	52.0	1.0	1.0	0.0	4.0	11.07	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	3.0	0.0	7.5	138.21	1.0	1.0	3811.93	0.0	0.0	3.0	0.0	3.0	0.0	0.0	37.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	3.0	0.0	8.0	1.0	3.0	1.0	1277.5	4.0	1.0	0.0	3.0	21.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	17.0
1.1.1.145-RXN	0.0	0.0	0.0	1.0	0.0	0.2	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.0	1.0	7.4	0.0	0.0	0.0	0.0	0.0	117.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.2	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
1.1.1.215-RXN	11.0	14.0	123.0	334.64	51.0	20.0	23.0	0.0	0.0	1.0	53.5	9.0	889.5	101.5	13.0	94.0	1091.0	45.0	33.0	56.0	16.0	27.64	51.0	194.78	122.0	2.0	58.39	262.0	99.0	89.0	102.0	6470.03	2.17	162.0	39.0	1.43	4.0	14.78	4.0	280.0	41.0	8.5	9.86	63.86	15.0	4.0	1.5	33.64	10.49	75.14	1.0	103.5	8.64	115.93	600.14	150.72	115.25	73.0	1.0	33.5	20.0	17.5	1443.75	11993.04	1243.93	13.64	0.5	1.0	53.5	220.0	24.42	140.0	91.5	440.0	2234.68	413.64	81.0	677.0	13.5	1082.43	2442.8	359.93	339.56	20.64	34.0	821.08	12.21	973.25	2412.29	7363.18	327.83	1390.0700000000002	172.77999999999997	8.83	0.5	1104.62	3.64	70.67	4951.33	9356.71	1335.29	3278.7300000000005	31956.35	763.5	64.86	11.64	1398.5	2146.1400000000003	12.28	202.25	6.5	5.5	25.0	7.0	16.79	40.0	1.0	3.0	56.14	391.5	2220.36	17.93	21.0	14.5	2.0	13.5	22.5
1.1.1.251-RXN	5891.0	6549.0	16029.0	8007.0	4905.0	5400.0	5251.0	7511.0	8198.0	13243.0	12378.0	5747.0	8287.0	6343.0	4296.0	3368.0	6484.0	8065.0	6040.0	6640.0	9220.0	10108.0	6208.0	17123.0	13102.0	10486.0	15129.0	22781.0	9121.0	5740.0	9652.0	14078.0	12838.0	10783.0	10145.0	5571.0	5418.0	8444.0	7515.0	8133.0	12145.0	14478.0	10535.0	6751.0	4102.0	6841.0	4976.0	5185.0	5003.0	10052.0	2143.0	20266.0	3174.0	8334.0	16105.0	9185.0	11067.0	4253.0	8647.0	1.0	6.0	21998.0	4870.0	12304.0	3890.0	17738.0	12582.0	545.0	7789.0	7488.0	10511.0	3575.0	7402.0	10251.0	6394.0	14063.0	5283.0	10846.0	7356.0	11061.0	8122.0	6375.0	11817.0	18351.0	7099.0	3753.0	7842.0	7699.0	5317.0	4740.0	12337.0	11652.0	9062.0	15945.0	8909.0	14752.0	7410.0	12467.0	6293.0	4215.0	2306.0	6212.0	3221.0	7475.0	574.0	8768.0	4288.0	7985.0	3.0	17462.0	9001.0	8379.0	25819.0	10871.0	6778.0	15170.0	3823.0	6151.0	18023.0	11995.0	19000.0	12789.0	17316.0	3507.0	9535.0	14899.0	6713.0
1.1.1.253-RXN	1.0	0.0	0.0	1.0	1.0	1.0	7.0	0.0	0.0	0.0	5.859999999999999	2.0	7.0	0.0	0.0	1.0	2.0	0.0	2.0	4.0	0.0	5.14	4.0	7.140000000000001	2.0	1.0	14.14	134.0	3.0	0.44	3.0	2664.28	1.0	6.25	3.0	0.43	0.0	1.0	2.0	146.5	10.0	1.0	0.28	1.86	0.0	0.0	0.0	1.14	0.99	0.14	0.0	9.0	5.140000000000001	21.43	11.14	2.86	1.42	0.5	0.0	0.0	3.0	2.0	146.0	5230.29	4.68	1.0	0.0	0.25	0.0	0.0	6.42	0.0	1.0	3.0	13.43	21.64	0.0	9.5	2.0	6.43	1101.72	94.43	1.14	0.14	7.0	8.0	2.71	5.25	97.29	6863.43	49.0	4.57	4.28	1.0	0.0	256.29	0.14	0.17	2168.58	4564.709999999999	168.29	1447.56	12833.85	3.0	7.859999999999999	0.14	7.0	85.14	2.28	30.0	0.0	1.0	3.0	0.0	2.54	1.0	0.0	0.0	4.140000000000001	174.0	96.61	1.4300000000000002	0.0	2.0	0.0	2.0	0.0
1.1.1.261-RXN	0.0	2.0	1.0	3.5	0.0	4.0	0.0	0.0	0.0	0.0	33.36	4.0	1.5	0.5	0.0	14.0	0.0	0.0	1.0	2.0	3.0	2.64	1.0	39.14	3.0	0.0	4.390000000000001	3.0	0.0	2.0	4.0	793.03	1.5	7.0	1.0	0.43	1.0	3.5	0.0	150.0	1.0	0.5	0.28	2.86	0.0	1.5	0.5	0.64	3.49	0.14	0.0	7.0	0.64	7.93	11.14	7.859999999999999	5.92	1.5	2.0	1.5	0.0	1.5	1150.75	1528.04	1214.93	10.5	0.5	1.0	0.5	2.0	4.42	1.0	0.5	0.0	2154.68	123.14	0.0	597.5	1.5	326.43	593.4699999999999	362.93	0.14	1.64	17.0	550.5	11.21	958.25	2287.29	2229.18	185.5	1388.0700000000002	166.77999999999997	6.5	0.5	843.2899999999998	1.64	79.17	1958.33	2073.71	1077.29	413.06	1285.85	757.5	29.86	51.64	1384.5	2051.1400000000003	3.28	137.25	2.5	5.5	2.0	1277.5	8.79	0.0	0.0	8.0	17.14	13.5	2025.36	3.93	2.0	1.5	0.0	2.5	0.5
1.1.1.264-RXN	3.0	4.0	0.0	7.07	0.0	425.4	3.0	0.0	38.0	11.0	21.47	9.0	2.0	0.0	0.0	5.0	3.0	0.0	2.0	41.0	0.0	499.0	17.0	59.94	57.0	73.0	20.17	129.0	10.0	13.0	320.0	2403.0	129.0	311.4	63.0	0.0	3.0	2.14	3.0	195.33	2.0	3.0	5.49	3.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	5.0	1.0	11.5	16.2	44.43	2.0	2.2	0.0	7.0	4.0	20.0	30.0	4599.0	112.0	26.07	0.0	1.0	91.0	20.0	2.0	1.0	0.0	5.0	127.0	70.17	0.0	22.0	11.0	762.0	263.0	97.67	142.21	204.0	97.0	440.99	0.0	4.0	7.83	2249.0	122.83	0.2	5.0	1.0	0.0	107.0	0.0	0.0	1375.0	732.0	122.0	1420.0	11652.0	2.0	6.0	70.0	8.0	62.0	5.0	55.0	11.0	2.0	13.0	2.0	8.0	7.0	0.0	3.0	202.17	309.17	94.2	10.0	13.0	4.0	0.0	18.0	24.0
1.1.1.271-RXN	1.0	2.0	0.0	5.0	0.0	5.0	1.0	2.0	0.0	0.0	23.36	1.5	16.0	1.0	0.0	1.0	7.0	7.0	1.0	1.0	0.0	2.14	3.0	37.14	1.0	2.0	5.140000000000001	3.0	4.0	0.0	20.0	19.78	4.0	10.5	1.0	0.43	2.0	0.0	0.0	249.0	12.5	2.5	0.78	6.859999999999999	2.0	2.0	0.0	1.14	1.99	10.14	0.0	1.0	1.14	11.43	28.64	16.86	4.42	6.0	2.0	7.0	0.0	4.0	6.0	1.29	2.43	6.0	0.0	0.0	5.0	14.0	2.42	2.0	0.0	2.5	8.43	9.14	1.0	2.5	0.0	5.93	64.72	100.93	0.14	1.14	1.0	0.0	2.71	0.0	96.54	242.43	1.5	2.57	0.28	0.0	2.0	145.29000000000002	0.14	0.0	64.58	182.71	18.29	27.56	101.85	0.0	5.86	1.14	1.0	34.14	0.28	5.5	0.0	0.0	1.0	0.0	3.29	1.0	0.0	0.0	15.14	4.0	1.2800000000000002	1.4300000000000002	0.0	2.0	0.0	4.0	2.0
