Periodo,Sitio,Representative_Date
p01,s01,2023-04-04
p01,s02,2023-04-04
p01,s03,2023-04-05
p01,s04,2023-04-05
p01,s05,2023-04-06
p01,s06,2023-04-06
p01,s07,2023-04-07
p01,s08,2023-04-07
p01,s09,2023-04-08
p01,s10,2023-04-08
p01,s11,2023-04-10
p01,s12,2023-04-10
p01,s13,2023-04-11
p01,s14,2023-04-11
p01,s15,2023-04-09
p01,s16,2023-04-09
p02,s01,2023-04-17
p02,s02,2023-04-17
p02,s03,2023-04-18
p02,s04,2023-04-18
p02,s05,2023-04-21
p02,s06,2023-04-21
p02,s07,2023-04-19
p02,s08,2023-04-19
p02,s09,2023-04-20
p02,s10,2023-04-20
p02,s11,2023-04-27
p02,s12,2023-04-27
p02,s13,2023-05-02
p02,s14,2023-05-02
p02,s15,2023-04-26
p02,s16,2023-04-26
p03,s01,2023-05-03
p03,s02,2023-05-03
p03,s03,2023-05-04
p03,s04,2023-05-04
p03,s05,2023-05-05
p03,s06,2023-05-05
p03,s07,2023-05-08
p03,s08,2023-05-08
p03,s09,2023-05-17
p03,s10,2023-05-17
p03,s11,2023-05-26
p03,s12,2023-05-26
p03,s13,2023-05-28
p03,s14,2023-05-28
p03,s15,2023-05-29
p03,s16,2023-05-29
p04,s01,2023-05-31
p04,s02,2023-05-31
p04,s03,2023-06-05
p04,s04,2023-06-05
p04,s05,2023-06-01
p04,s06,2023-06-01
p04,s07,2023-06-06
p04,s08,2023-06-06
p04,s09,2023-06-07
p04,s10,2023-06-07
p04,s11,2023-06-08
p04,s12,2023-06-08
p04,s13,2023-06-16
p04,s14,2023-06-16
p04,s15,2023-06-15
p04,s16,2023-06-15
p05,s01,2023-06-22
p05,s02,2023-06-22
p05,s03,2023-06-23
p05,s04,2023-06-23
p05,s05,2023-06-24
p05,s06,2023-06-24
p05,s07,2023-07-03
p05,s08,2023-07-03
p05,s09,2023-07-05
p05,s10,2023-07-05
p05,s11,2023-07-04
p05,s12,2023-07-04
p05,s13,2023-07-10
p05,s14,2023-07-10
p05,s15,2023-07-14
p05,s16,2023-07-14
p06,s01,2023-07-18
p06,s02,2023-07-18
p06,s03,
p06,s04,2023-07-18
p06,s05,2023-07-17
p06,s06,2023-07-17
p06,s07,2023-07-27
p06,s08,2023-07-27
p06,s09,2023-07-27
p06,s10,2023-07-27
p06,s11,2023-07-26
p06,s12,2023-07-26
p06,s13,2023-07-26
p06,s14,2023-07-26
