"domain","taxon","degree","strength","Genus","Family","Order","tax_label","tax_rank"
"Plants","ASV_35",154,36.3044169472377,"Lotus","Fabaceae","Fabales","Lotus","Genus"
"Plants","ASV_1",146,36.0120333189215,"Lotus","Fabaceae","Fabales","Lotus","Genus"
"Plants","ASV_41",154,36.0030716140649,"Linaria","Plantaginaceae","Lamiales","Linaria","Genus"
"Plants","ASV_10",148,35.2145119143247,"Lotus","Fabaceae","Fabales","Lotus","Genus"
"Plants","ASV_19",140,34.1063523928138,"Lotus","Fabaceae","Fabales","Lotus","Genus"
"Bacteria","ASV_10",142,22.9790655572096,NA,NA,NA,"unclassified","unclassified"
"Bacteria","ASV_17",131,22.5813311577007,NA,NA,"Enterobacterales","Enterobacterales","Order"
"Bacteria","ASV_38",122,21.8280967171715,"Gilliamella","Orbaceae","Orbales","Gilliamella","Genus"
"Bacteria","ASV_58",133,21.1879403018498,"Snodgrassella","Neisseriaceae","Burkholderiales","Snodgrassella","Genus"
"Bacteria","ASV_57",89,21.1426648581387,NA,NA,NA,"unclassified","unclassified"
"Fungi","ASV_12",174,41.809791373815,"g__Pseudogymnoascus","f__Pseudeurotiaceae","o__Thelebolales","g__Pseudogymnoascus","Genus"
"Fungi","ASV_7",169,35.356218004146,"g__Antherospora","f__Floromycetaceae","o__Urocystidales","g__Antherospora","Genus"
"Fungi","ASV_1",169,34.7974642196692,"g__Phialemonium","f__Cephalothecaceae","o__Cephalothecales","g__Phialemonium","Genus"
"Fungi","ASV_76",161,32.6018048610037,"g__Pseudogymnoascus","f__Pseudeurotiaceae","o__Thelebolales","g__Pseudogymnoascus","Genus"
"Fungi","ASV_9",143,31.000232305999,NA,NA,NA,"unclassified","unclassified"
